Year,Month,Group,Loan Type,Total Loan Amount,Total Collateral Guarantees Loans,Total Small Medium Enterprises Loans,Floating Rate 1 Year Fixation,Floating Rate 1 Year Rate Fixation Collateral Guarantees,Floating Rate 1 Year Rate Fixation Floating Rate,Over 1 To 5 Years Rate Fixation,Over 5 Years Rate Fixation,Over 5 To 10 Years Rate Fixation,Over 10 Years Rate Fixation
2025,6,Individuals and private non-profit institutions,Consumer loans with a defined maturity,173.11,69.19,,107.13,23.18,,36.97,29.02,,
2025,6,Individuals and private non-profit institutions,Housing Loans,204.22,,,78.45,,78.29,,,26.682,
2025,6,Individuals and private non-profit institutions,Loans with a defined maturity,,,,,,,,,,
2025,6,Non-financial corporations,Other loans with defined maturity,1739.35,,685.79,,,,,,,
2025,6,Non-financial corporations,Loans with a defined maturity and up to an amount of EUR 1 million - Loans with a defined maturity and over an amount of EUR 0.25 million and up to 1 million,125.64,120.00,,96.07,91.08,,,,,
2025,6,Non-financial corporations,Loans with a defined maturity and up to an amount of EUR 1 million - Loans with a defined maturity and up to an amount of EUR 0.25,225.95,196.37,,223.31,193.73,,,,,
2025,6,Non-financial corporations,Loans with a defined maturity over an amount of EUR 1 million,1387.76,825.75,,1374.24,812.23,,,,,
2025,6,Non-financial corporations,Loans with an original maturity over 1 year - Loans over an amount of EUR 0.25 million and up to 1 million,198.61,173.66,,1089.70,705.70,,,,,
2025,6,Non-financial corporations,Loans with an original maturity over 1 year - Loans over an amount of EUR 1 million,1089.70,705.70,,784.10,584.95,,,,,
2025,6,Non-financial corporations,Loans with an original maturity over 1 year - Loans up to an amount of EUR 0.25 million,91.85,87.20,,,,,,,,
2025,6,Sole proprietors and unicorporated businesses,Other loans with defined maturity,45.58,37.12,,42.66,35.25,,,,,
2025,7,Individuals and private non-profit institutions,Consumer loans with a defined maturity,188.91,76.21,,111.84,22.08,,43.41,33.66,,
2025,7,Individuals and private non-profit institutions,Housing Loans,220.53,,,81.37,,80.17,,,24.03,
2025,7,Individuals and private non-profit institutions,Loans with a defined maturity,,,,,,,,,,
2025,7,Non-financial corporations,Other loans with defined maturity,1954.15,,780.60,,,,,,,
2025,7,Non-financial corporations,Loans with a defined maturity and up to an amount of EUR 1 million - Loans with a defined maturity and over an amount of EUR 0.25 million and up to 1 million,99.98,96.38,,78.48,75.59,,,,,
2025,7,Non-financial corporations,Loans with a defined maturity and up to an amount of EUR 1 million - Loans with a defined maturity and up to an amount of EUR 0.25,143.21,132.17,,139.97,128.94,,,,,
2025,7,Non-financial corporations,Loans with a defined maturity over an amount of EUR 1 million,1710.96,1247.15,,1710.96,1247.15,,,,,
2025,7,Non-financial corporations,Loans with an original maturity over 1 year - Loans over an amount of EUR 0.25 million and up to 1 million,129.30,119.77,,,,,,,,
2025,7,Non-financial corporations,Loans with an original maturity over 1 year - Loans over an amount of EUR 1 million,1543.11,1115.91,,,,,,,,
2025,7,Non-financial corporations,Loans with an original maturity over 1 year - Loans up to an amount of EUR 0.25 million,73.70,70.88,,,,,,,,
2025,7,Sole proprietors and unicorporated businesses,Other loans with defined maturity,36.47,27.61,,33.02,25.20,,,,,
2025,8,Individuals and private non-profit institutions,Consumer loans with a defined maturity,137.48,51.47,,86.01,14.84,,28.08,23.39,,
2025,8,Individuals and private non-profit institutions,Housing Loans,140.70,,,53.85,,52.96,,,18.444,
2025,8,Individuals and private non-profit institutions,Loans with a defined maturity,,,,,,,,,,
2025,8,Non-financial corporations,Other loans with defined maturity,1039.41,,286.81,,,,,,,
2025,8,Non-financial corporations,Loans with a defined maturity and up to an amount of EUR 1 million - Loans with a defined maturity and over an amount of EUR 0.25 million and up to 1 million,49.72,48.02,,39.28,37.88,,,,,
2025,8,Non-financial corporations,Loans with a defined maturity and up to an amount of EUR 1 million - Loans with a defined maturity and up to an amount of EUR 0.25,83.45,77.79,,79.87,74.21,,,,,
2025,8,Non-financial corporations,Loans with a defined maturity over an amount of EUR 1 million,906.24,378.88,,906.24,378.88,,,,,
2025,8,Non-financial corporations,Loans with an original maturity over 1 year - Loans over an amount of EUR 0.25 million and up to 1 million,70.16,65.00,,,,,,,,
2025,8,Non-financial corporations,Loans with an original maturity over 1 year - Loans over an amount of EUR 1 million,811.89,375.28,,,,,,,,
2025,8,Non-financial corporations,Loans with an original maturity over 1 year - Loans up to an amount of EUR 0.25 million,35.50,34.35,,,,,,,,
2025,8,Sole proprietors and unicorporated businesses,Other loans with defined maturity,26.74,19.38,,23.45,16.75,,,,,
2025,9,Individuals and private non-profit institutions,Consumer loans with a defined maturity,185.06,71.09,,112.54,19.45,,38.74,33.77,,
2025,9,Individuals and private non-profit institutions,Housing Loans,223.52,,,84.61,,83.45,,,31.883,
2025,9,Individuals and private non-profit institutions,Loans with a defined maturity,,,,,,,,,,
2025,9,Non-financial corporations,Other loans with defined maturity,1756.31,,733.60,,,,,,,
2025,9,Non-financial corporations,Loans with a defined maturity and up to an amount of EUR 1 million - Loans with a defined maturity and over an amount of EUR 0.25 million and up to 1 million,82.24,77.97,,68.38,64.94,,,,,
2025,9,Non-financial corporations,Loans with a defined maturity and up to an amount of EUR 1 million - Loans with a defined maturity and up to an amount of EUR 0.25,121.95,109.52,,118.08,105.65,,,,,
2025,9,Non-financial corporations,Loans with a defined maturity over an amount of EUR 1 million,1552.12,748.17,,1552.12,748.17,,,,,
2025,9,Non-financial corporations,Loans with an original maturity over 1 year - Loans over an amount of EUR 0.25 million and up to 1 million,106.31,95.98,,,,,,,,
2025,9,Non-financial corporations,Loans with an original maturity over 1 year - Loans over an amount of EUR 1 million,1427.24,706.03,,,,,,,,
2025,9,Non-financial corporations,Loans with an original maturity over 1 year - Loans up to an amount of EUR 0.25 million,64.82,61.75,,,,,,,,
2025,9,Sole proprietors and unicorporated businesses,Other loans with defined maturity,38.56,30.67,,36.00,28.88,,,,,
