Year,Month,Total Consumer Loans Aprc,Total Housing Loans Aprc,Delta Interest Rate Deposits,Weighted Average Interest Rate New Loans In Euro,Group,Weighted Average Interest Rate,Loan Type,Credit Cards,Open Account Loans,Debit Balances On Current Accounts,Total Interest Rate,Total Collateral Guarantees Interest Rates,Total Small Medium Enterprises Interest Rates,Floating Rate 1 Year Fixation,Floating Rate 1 Year Rate Fixation Collateral Guarantees,Floating Rate 1 Year Rate Fixation Floating Rate,Over 1 To 5 Years Rate Fixation,Over 5 Years Rate Fixation,Over 5 To 10 Years Rate Fixation,Over 10 Years Rate Fixation,Credit Lines,Debit Balances Sight Deposits
2025,6,11.15,3.59,4.18,4.61,,,,,,,,,,,,,,,,,,
2025,6,,,,,Individuals and private non-profit institutions,5.7,Weighted average interest rate,,,,,,,,,,,,,,,
2025,6,,,,,Individuals and private non-profit institutions,,Loans without a defined maturity,14.68,16.8,11.15,,,,,,,,,,,,
2025,6,,,,,Individuals and private non-profit institutions,,Consumer loans with a defined maturity,,,,10.19,8.85,,10.79,8.85,,8.39,9.35,,,,
2025,6,,,,,Individuals and private non-profit institutions,,Housing loans,,,,3.59,,,3.52,,3.52,3.52,,,4.24,,
2025,6,,,,,Individuals and private non-profit institutions,,Other loans with a defined maturity,,,,,,,,,,,,,,,
2025,6,,,,,Sole proprietors and unicorporated businesses,,Loans with a defined maturity,,,,5.42,5.16,,5.42,5.18,,,,,,,
2025,6,,,,,Sole proprietors and unicorporated businesses,,Loans without a defined maturity (Credit lines - open account loans),,,,,,,,,,,,,,6.83,
2025,6,,,,,Sole proprietors and unicorporated businesses,5.64,Weighted average interest rate,,,,,,,,,,,,,,,
2025,6,,,,,Non-financial corporations,4.11,Weighted average interest rate,,,,,,,,,,,,,,,
2025,6,,,,,Non-financial corporations,,Loans without a defined maturity,,,,4.7,,5.12,,,,,,,,4.7,5.12
2025,6,,,,,Non-financial corporations,,Loans with a defined maturity and up to an amount of EUR 1 million,,,,,,,,,,,,,,,
2025,6,,,,,Non-financial corporations,,Loans with a defined maturity and up to an amount of EUR 0.25,,,,5.38,5.39,,4.74,4.72,,,,,,,
2025,6,,,,,Non-financial corporations,,Loans with a defined maturity and over an amount of EUR 0.25 million and up to 1 million,,,,4.24,4.25,,4.24,4.24,,,,,,,
2025,6,,,,,Non-financial corporations,,Loans with a defined maturity over an amount of EUR 1 million,,,,3.86,4.18,,3.85,4.17,,,,,,,
2025,6,,,,,Non-financial corporations,,Loans with an original maturity over 1 year - Loans up to an amount of EUR 0.25 million,,,,4.75,4.73,,,,,,,,,,
2025,6,,,,,Non-financial corporations,,Loans with an original maturity over 1 year - Loans over an amount of EUR 0.25 million and up to 1 million,,,,4.26,4.27,,,,,,,,,,
2025,6,,,,,Non-financial corporations,,Loans with an original maturity over 1 year - Loans over an amount of EUR 1 million,,,,3.92,4.14,,,,,,,,,,
2025,7,11.09,3.52,4.15,4.49,,,,,,,,,,,,,,,,,,
2025,7,,,,,Individuals and private non-profit institutions,5.72,Weighted average interest rate,,,,,,,,,,,,,,,
2025,7,,,,,Individuals and private non-profit institutions,,Loans without a defined maturity,14.65,16.74,11.09,,,,,,,,,,,,
2025,7,,,,,Individuals and private non-profit institutions,,Consumer loans with a defined maturity,,,,10.45,9.25,,11.16,9.56,,9.73,9.01,,,,
2025,7,,,,,Individuals and private non-profit institutions,,Housing loans,,,,3.52,,,3.36,,3.36,3.36,,,4.34,,
2025,7,,,,,Individuals and private non-profit institutions,,Other loans with a defined maturity,,,,,,,,,,,,,,,
2025,7,,,,,Sole proprietors and unicorporated businesses,,Loans with a defined maturity,,,,5.44,5.22,,5.44,5.25,,,,,,,
2025,7,,,,,Sole proprietors and unicorporated businesses,,Loans without a defined maturity (Credit lines - open account loans),,,,,,,,,,,,,,6.87,
2025,7,,,,,Sole proprietors and unicorporated businesses,5.66,Weighted average interest rate,,,,,,,,,,,,,,,
2025,7,,,,,Non-financial corporations,3.92,Weighted average interest rate,,,,,,,,,,,,,,,
2025,7,,,,,Non-financial corporations,,Loans without a defined maturity,,,,4.52,,4.93,,,,,,,,4.52,4.93
2025,7,,,,,Non-financial corporations,,Loans with a defined maturity and up to an amount of EUR 1 million,,,,,,,,,,,,,,,
2025,7,,,,,Non-financial corporations,,Loans with a defined maturity and up to an amount of EUR 0.25,,,,5.26,5.26,,4.73,4.71,,,,,,,
2025,7,,,,,Non-financial corporations,,Loans with a defined maturity and over an amount of EUR 0.25 million and up to 1 million,,,,4.26,4.27,,4.26,4.26,,,,,,,
2025,7,,,,,Non-financial corporations,,Loans with a defined maturity over an amount of EUR 1 million,,,,3.71,3.74,,3.71,3.74,,,,,,,
2025,7,,,,,Non-financial corporations,,Loans with an original maturity over 1 year - Loans up to an amount of EUR 0.25 million,,,,4.74,4.72,,,,,,,,,,
2025,7,,,,,Non-financial corporations,,Loans with an original maturity over 1 year - Loans over an amount of EUR 0.25 million and up to 1 million,,,,4.27,4.27,,,,,,,,,,
2025,7,,,,,Non-financial corporations,,Loans with an original maturity over 1 year - Loans over an amount of EUR 1 million,,,,3.59,3.56,,,,,,,,,,
2025,8,11.06,3.58,4.14,4.45,,,,,,,,,,,,,,,,,,
2025,8,,,,,Individuals and private non-profit institutions,5.78,Weighted average interest rate,,,,,,,,,,,,,,,
2025,8,,,,,Individuals and private non-profit institutions,,Loans without a defined maturity,14.66,16.7,11.06,,,,,,,,,,,,
2025,8,,,,,Individuals and private non-profit institutions,,Consumer loans with a defined maturity,,,,10.68,9.49,,11.47,10.59,,9.78,8.86,,,,
2025,8,,,,,Individuals and private non-profit institutions,,Housing loans,,,,3.58,,,3.55,,3.54,3.54,,,4.19,,
2025,8,,,,,Individuals and private non-profit institutions,,Other loans with a defined maturity,,,,,,,,,,,,,,,
2025,8,,,,,Sole proprietors and unicorporated businesses,,Loans with a defined maturity,,,,5.21,4.91,,5.25,4.96,,,,,,,
2025,8,,,,,Sole proprietors and unicorporated businesses,,Loans without a defined maturity (Credit lines - open account loans),,,,,,,,,,,,,,6.87,
2025,8,,,,,Sole proprietors and unicorporated businesses,5.47,Weighted average interest rate,,,,,,,,,,,,,,,
2025,8,,,,,Non-financial corporations,3.85,Weighted average interest rate,,,,,,,,,,,,,,,
2025,8,,,,,Non-financial corporations,,Loans without a defined maturity,,,,4.5,,4.9,,,,,,,,4.5,4.9
2025,8,,,,,Non-financial corporations,,Loans with a defined maturity and up to an amount of EUR 1 million,,,,,,,,,,,,,,,
2025,8,,,,,Non-financial corporations,,Loans with a defined maturity and up to an amount of EUR 0.25,,,,5.19,5.19,,4.71,4.69,,,,,,,
2025,8,,,,,Non-financial corporations,,Loans with a defined maturity and over an amount of EUR 0.25 million and up to 1 million,,,,4.21,4.2,,4.21,4.2,,,,,,,
2025,8,,,,,Non-financial corporations,,Loans with a defined maturity over an amount of EUR 1 million,,,,3.62,3.86,,3.62,3.86,,,,,,,
2025,8,,,,,Non-financial corporations,,Loans with an original maturity over 1 year - Loans up to an amount of EUR 0.25 million,,,,4.71,4.69,,,,,,,,,,
2025,8,,,,,Non-financial corporations,,Loans with an original maturity over 1 year - Loans over an amount of EUR 0.25 million and up to 1 million,,,,4.27,4.27,,,,,,,,,,
2025,8,,,,,Non-financial corporations,,Loans with an original maturity over 1 year - Loans over an amount of EUR 1 million,,,,3.64,3.86,,,,,,,,,,
2025,9,11.01,3.55,4.18,4.51,,,,,,,,,,,,,,,,,,
2025,9,,,,,Individuals and private non-profit institutions,5.73,Weighted average interest rate,,,,,,,,,,,,,,,
2025,9,,,,,Individuals and private non-profit institutions,,Loans without a defined maturity,14.58,16.69,11.01,,,,,,,,,,,,
2025,9,,,,,Individuals and private non-profit institutions,,Consumer loans with a defined maturity,,,,10.45,9.17,,11.13,9.6,,9.88,8.83,,,,
2025,9,,,,,Individuals and private non-profit institutions,,Housing loans,,,,3.55,,,3.52,,3.51,3.51,,,4.01,,
2025,9,,,,,Individuals and private non-profit institutions,,Other loans with a defined maturity,,,,,,,,,,,,,,,
2025,9,,,,,Sole proprietors and unicorporated businesses,,Loans with a defined maturity,,,,5.43,5.16,,5.43,5.17,,,,,,,
2025,9,,,,,Sole proprietors and unicorporated businesses,,Loans without a defined maturity (Credit lines - open account loans),,,,,,,,,,,,,,6.83,
2025,9,,,,,Sole proprietors and unicorporated businesses,5.65,Weighted average interest rate,,,,,,,,,,,,,,,
2025,9,,,,,Non-financial corporations,3.95,Weighted average interest rate,,,,,,,,,,,,,,,
2025,9,,,,,Non-financial corporations,,Loans without a defined maturity,,,,4.51,,4.9,,,,,,,,4.48,5.09
2025,9,,,,,Non-financial corporations,,Loans with a defined maturity and up to an amount of EUR 1 million,,,,,,,,,,,,,,,
2025,9,,,,,Non-financial corporations,,Loans with a defined maturity and up to an amount of EUR 0.25,,,,5.11,5.11,,4.74,4.71,,,,,,,
2025,9,,,,,Non-financial corporations,,Loans with a defined maturity and over an amount of EUR 0.25 million and up to 1 million,,,,4.31,4.3,,4.3,4.29,,,,,,,
2025,9,,,,,Non-financial corporations,,Loans with a defined maturity over an amount of EUR 1 million,,,,3.76,4.16,,3.76,4.16,,,,,,,
2025,9,,,,,Non-financial corporations,,Loans with an original maturity over 1 year - Loans up to an amount of EUR 0.25 million,,,,4.75,4.72,,,,,,,,,,
2025,9,,,,,Non-financial corporations,,Loans with an original maturity over 1 year - Loans over an amount of EUR 0.25 million and up to 1 million,,,,4.33,4.32,,,,,,,,,,
2025,9,,,,,Non-financial corporations,,Loans with an original maturity over 1 year - Loans over an amount of EUR 1 million,,,,3.77,4.17,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
